date,open,high,low,close,volume,daily_return,gap_pct,close_lag1,close_lag5,close_lag10,ma_7,ma_20,ma_50,ma_200,volatility_20,volatility_30,avg_volume_20,volume_ratio_20,momentum_5d,momentum_10d,distance_from_ma20,distance_from_ma50,upper_band_20,lower_band_20,rsi_14,market_regime,day_of_week,month,quarter,next_day_close,next_day_return,target_direction,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,lm_sentiment_ma5,lm_sentiment_ma20,lm_sentiment_delta,lm_uncertainty_zscore,lm_litigation_spike,lm_neg_dominant
1996-05-14,10.113733,10.405195,10.113733,10.346903,13405600,3.1977,0.8721,10.026296,9.487093,9.501665,9.77,9.52,9.58,8.71,0.2697,0.2467,7229390,1.85,9.06,8.9,8.69,8.01,10.06,8.98,83.17,Bull,2,5,2,10.376051,0.2817,1,63.0,15.0,11.0,11.0,3.0,3.1469,0.7493,0.5495,2.3976,2.56644,2.756385,-0.3587849999999997,-2.3202011407059806,0,0
1996-05-15,10.346905,10.580074,10.346905,10.376051,12970600,0.2817,0.0,10.346903,9.647393,9.53081,9.9,9.58,9.59,8.72,0.3262,0.2879,7432620,1.75,7.55,8.87,8.31,8.2,10.23,8.93,82.29,Bull,3,5,2,10.609221,2.2472,1,63.0,15.0,11.0,11.0,3.0,3.1469,0.7493,0.5495,2.3976,2.4820200000000003,2.7352800000000004,-0.3376800000000002,-1.9493588689617938,0,0
1996-05-16,10.376051,10.667513,10.376051,10.609221,10024400,2.2472,0.0,10.376051,9.647393,9.370512,10.06,9.64,9.61,8.74,0.3912,0.3449,7453440,1.34,9.97,13.22,10.05,10.4,10.42,8.86,84.82,Bull,4,5,2,10.754955,1.3737,1,63.0,15.0,11.0,11.0,3.0,3.1469,0.7493,0.5495,2.3976,2.3976,2.714175,-0.31657499999999983,-1.6881943016134142,0,0
1996-05-17,10.63837,10.900686,10.63837,10.754955,14869200,1.3737,0.2748,10.609221,9.778557,9.297642,10.22,9.72,9.63,8.75,0.4477,0.4058,7546380,1.97,9.99,15.67,10.65,11.68,10.62,8.82,86.78,Bull,5,5,2,10.842394,0.813,1,63.0,15.0,11.0,11.0,3.0,3.1469,0.7493,0.5495,2.3976,2.3976,2.69307,-0.2954699999999999,-1.4888474289418205,0,0
1996-05-20,10.754955,10.900686,10.376054,10.842394,8158800,0.813,0.0,10.754955,10.026296,9.428801,10.39,9.79,9.66,8.77,0.5057,0.4643,7596280,1.07,8.14,14.99,10.75,12.24,10.8,8.78,87.1,Bull,1,5,2,10.842394,0.0,0,63.0,15.0,11.0,11.0,3.0,3.1469,0.7493,0.5495,2.3976,2.3976,2.671965,-0.27436499999999997,-1.3282641733803233,0,0
1996-05-21,10.842394,11.163002,10.492639,10.842394,10411000,0.0,0.0,10.842394,10.346903,9.487093,10.54,9.86,9.69,8.78,0.5496,0.5122,7805890,1.33,4.79,14.29,9.96,11.89,10.96,8.76,86.89,Bull,2,5,2,10.988128,1.3441,1,63.0,15.0,11.0,11.0,3.0,3.1469,0.7493,0.5495,2.3976,2.3976,2.65086,-0.25326000000000004,-1.193733638631333,0,0
1996-05-22,10.842397,11.04642,10.667519,10.988128,11524600,1.3441,0.0,10.842394,10.376051,9.647393,10.68,9.94,9.72,8.8,0.5908,0.5551,8022220,1.44,5.9,13.9,10.54,13.05,11.12,8.76,95.87,Bull,3,5,2,10.871537,-1.0611,0,63.0,15.0,11.0,11.0,3.0,3.1469,0.7493,0.5495,2.3976,2.3976,2.6297550000000003,-0.2321550000000001,-1.0775486583496414,0,0
1996-05-23,10.988122,11.046414,10.813245,10.871537,9491200,-1.0611,-0.0001,10.988128,10.609221,9.647393,10.75,10.01,9.75,8.82,0.6144,0.5847,8139220,1.17,2.47,12.69,8.61,11.5,11.24,8.78,93.55,Bull,4,5,2,11.07556,1.8767,1,63.0,15.0,11.0,11.0,3.0,3.1469,0.7493,0.5495,2.3976,2.3976,2.60865,-0.21104999999999974,-0.974679434480897,0,0
1996-05-24,10.871536,11.133852,10.871536,11.07556,6385200,1.8767,0.0,10.871537,10.754955,9.778557,10.85,10.09,9.78,8.83,0.6439,0.624,8249660,0.77,2.98,13.26,9.77,13.25,11.38,8.8,93.8,Bull,5,5,2,10.72581,-3.1579,0,63.0,15.0,11.0,11.0,3.0,3.1469,0.7493,0.5495,2.3976,2.3976,2.587545,-0.1899449999999998,-0.8816307204678886,0,0
1996-05-28,11.017272,11.017272,10.72581,10.72581,7993000,-3.1579,-0.5263,11.07556,10.842394,10.026296,10.87,10.16,9.81,8.85,0.6404,0.6383,8443950,0.95,-1.08,6.98,5.57,9.34,11.44,8.88,78.52,Bull,2,5,2,10.72581,0.0,0,63.0,15.0,11.0,11.0,3.0,3.1469,0.7493,0.5495,2.3976,2.3976,2.56644,-0.16883999999999988,-0.795822425754222,0,0
