date,form_type,accession_number,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,total_words
2012-05-24,8-K,0001181431-12-032458,5,1,7,2,1,1.046,0.2092,1.4644,0.8368,478
2012-06-28,8-K,0001181431-12-038301,0,1,2,2,1,0.0,0.5714,1.1429,-0.5714,175
2012-07-24,8-K,0001193125-12-312355,0,1,2,2,3,0.0,0.3623,0.7246,-0.3623,276
2012-07-25,10-Q,0001193125-12-314552,135,83,121,15,22,1.9705,1.2115,1.7662,0.759,6851
2012-10-25,8-K,0001193125-12-435506,0,1,2,2,3,0.0,0.3636,0.7273,-0.3636,275
2012-10-31,10-K,0001193125-12-444068,4,2,25,2,6,0.561,0.2805,3.5063,0.2805,713
2013-01-23,8-K,0001193125-13-020783,0,1,2,2,3,0.0,0.361,0.722,-0.361,277
2013-01-24,10-Q,0001193125-13-022339,125,84,115,23,23,1.8267,1.2275,1.6805,0.5992,6843
2013-03-01,8-K,0001193125-13-085842,0,3,2,2,1,0.0,0.9259,0.6173,-0.9259,324
2013-04-23,8-K,0001193125-13-167458,0,1,2,2,3,0.0,0.361,0.722,-0.361,277
2013-04-23,8-K,0001193125-13-167469,0,1,2,2,3,0.0,0.4274,0.8547,-0.4274,234
2013-04-24,8-K,0001193125-13-170623,7,1,2,2,2,1.0622,0.1517,0.3035,0.9105,659
2013-04-24,10-Q,0001193125-13-168288,128,88,115,25,23,1.7902,1.2308,1.6084,0.5594,7150
2013-05-03,8-K,0001193125-13-199324,1,1,12,2,1,0.1605,0.1605,1.9262,0.0,623
2013-06-21,8-K,0001193125-13-267629,16,16,24,2,1,1.248,1.248,1.8721,0.0,1282
2013-07-23,8-K,0001193125-13-298914,0,1,2,2,3,0.0,0.361,0.722,-0.361,277
2013-07-24,10-Q,0001193125-13-300670,143,98,118,26,24,1.87,1.2815,1.5431,0.5885,7647
2013-07-30,8-K,0001181431-13-041847,0,1,2,2,1,0.0,0.5435,1.087,-0.5435,184
2013-09-23,8-K,0001181431-13-050140,2,2,4,3,3,0.6289,0.6289,1.2579,0.0,318
2013-10-28,8-K,0001193125-13-413498,0,1,2,2,3,0.0,0.361,0.722,-0.361,277
2013-10-30,10-K,0001193125-13-416534,5,4,25,2,6,0.6281,0.5025,3.1407,0.1256,796
2014-01-27,8-K,0001193125-14-022238,0,1,2,2,3,0.0,0.3636,0.7273,-0.3636,275
2014-01-28,10-Q,0001193125-14-024487,137,99,121,26,25,1.8446,1.333,1.6292,0.5116,7427
2014-03-05,8-K,0001193125-14-084697,6,4,25,2,3,0.8889,0.5926,3.7037,0.2963,675
2014-04-23,8-K,0001193125-14-154883,0,1,2,2,3,0.0,0.431,0.8621,-0.431,232
2014-04-23,8-K,0001193125-14-154871,0,1,2,2,3,0.0,0.369,0.738,-0.369,271
2014-04-24,10-Q,0001193125-14-157311,141,100,126,26,25,1.8388,1.3041,1.6432,0.5347,7668
